08:46:40.066 [Thread-0] INFO  org.eclipse.jetty.server.Server - jetty-9.4.31.v20200723; built: 2020-07-23T17:57:36.812Z; git: 450ba27947e13e66baa8cd1ce7e85a4461cacc1d; jvm 17+35-2724
08:46:40.104 [Thread-0] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
08:46:40.104 [Thread-0] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
08:46:40.108 [Thread-0] INFO  org.eclipse.jetty.server.session - node0 Scavenging every 600000ms
08:46:40.204 [Thread-0] INFO  org.eclipse.jetty.server.AbstractConnector - Started ServerConnector@56f76519{HTTP/1.1, (http/1.1)}{0.0.0.0:4567}
08:46:40.204 [Thread-0] INFO  org.eclipse.jetty.server.Server - Started @1142ms
08:46:43.020 [qtp1525177530-25] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:46:44.764 [qtp1525177530-20] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:46:45.830 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:46:45.973 [qtp1525177530-26] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:46:46.117 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:46:46.277 [qtp1525177530-26] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:46:46.437 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:46:46.597 [qtp1525177530-26] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:46:46.724 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:46:48.945 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/css/style.css] has not been mapped in Spark for Accept: [text/css,*/*;q=0.1]
08:46:49.039 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/css/style.css] has not been mapped in Spark for Accept: [text/css,*/*;q=0.1]
08:46:49.198 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/css/style.css] has not been mapped in Spark for Accept: [text/css,*/*;q=0.1]
08:46:50.009 [qtp1525177530-26] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:51:29.685 [main] INFO  Main - ARRANCANDO APLICACION
08:51:29.715 [main] INFO  spark.staticfiles.StaticFilesConfiguration - StaticResourceHandler configured with folder = /public
08:51:29.892 [Thread-0] INFO  org.eclipse.jetty.util.log - Logging initialized @965ms to org.eclipse.jetty.util.log.Slf4jLog
08:51:29.963 [Thread-0] INFO  spark.embeddedserver.jetty.EmbeddedJettyServer - == Spark has ignited ...
08:51:29.964 [Thread-0] INFO  spark.embeddedserver.jetty.EmbeddedJettyServer - >> Listening on 0.0.0.0:4567
08:51:29.967 [Thread-0] INFO  org.eclipse.jetty.server.Server - jetty-9.4.31.v20200723; built: 2020-07-23T17:57:36.812Z; git: 450ba27947e13e66baa8cd1ce7e85a4461cacc1d; jvm 17+35-2724
08:51:29.997 [Thread-0] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
08:51:29.997 [Thread-0] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
08:51:30.000 [Thread-0] INFO  org.eclipse.jetty.server.session - node0 Scavenging every 660000ms
08:51:30.089 [Thread-0] INFO  org.eclipse.jetty.server.AbstractConnector - Started ServerConnector@6a248552{HTTP/1.1, (http/1.1)}{0.0.0.0:4567}
08:51:30.089 [Thread-0] INFO  org.eclipse.jetty.server.Server - Started @1165ms
08:51:31.714 [qtp81635739-25] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:51:31.785 [qtp81635739-20] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:51:34.540 [qtp81635739-24] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:57:23.790 [main] INFO  Main - ARRANCANDO APLICACION
08:57:23.824 [main] INFO  spark.staticfiles.StaticFilesConfiguration - StaticResourceHandler configured with folder = /public
08:57:23.958 [Thread-0] INFO  org.eclipse.jetty.util.log - Logging initialized @879ms to org.eclipse.jetty.util.log.Slf4jLog
08:57:24.025 [Thread-0] INFO  spark.embeddedserver.jetty.EmbeddedJettyServer - == Spark has ignited ...
08:57:24.025 [Thread-0] INFO  spark.embeddedserver.jetty.EmbeddedJettyServer - >> Listening on 0.0.0.0:4567
08:57:24.029 [Thread-0] INFO  org.eclipse.jetty.server.Server - jetty-9.4.31.v20200723; built: 2020-07-23T17:57:36.812Z; git: 450ba27947e13e66baa8cd1ce7e85a4461cacc1d; jvm 17+35-2724
08:57:24.064 [Thread-0] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
08:57:24.065 [Thread-0] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
08:57:24.068 [Thread-0] INFO  org.eclipse.jetty.server.session - node0 Scavenging every 660000ms
08:57:24.174 [Thread-0] INFO  org.eclipse.jetty.server.AbstractConnector - Started ServerConnector@56f76519{HTTP/1.1, (http/1.1)}{0.0.0.0:4567}
08:57:24.174 [Thread-0] INFO  org.eclipse.jetty.server.Server - Started @1099ms
08:57:27.595 [qtp1525177530-20] INFO  spark.http.matching.MatcherFilter - The requested route [/css/style.css] has not been mapped in Spark for Accept: [text/css,*/*;q=0.1]
08:57:28.286 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:57:29.366 [qtp1525177530-26] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:57:29.495 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:57:29.638 [qtp1525177530-26] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:57:29.782 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:57:30.052 [qtp1525177530-26] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:57:30.244 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/lista-notas] has not been mapped in Spark for Accept: [text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7]
08:57:39.015 [qtp1525177530-24] INFO  spark.http.matching.MatcherFilter - The requested route [/css/style.css] has not been mapped in Spark for Accept: [text/css,*/*;q=0.1]
09:02:56.427 [main] INFO  Main - ARRANCANDO APLICACION
09:02:56.459 [main] INFO  spark.staticfiles.StaticFilesConfiguration - StaticResourceHandler configured with folder = /public
09:02:56.593 [Thread-0] INFO  org.eclipse.jetty.util.log - Logging initialized @917ms to org.eclipse.jetty.util.log.Slf4jLog
